xi;vi1;vi2
0.703;0.546444;0.654117
0.704;0.547098;0.653983
0.705;0.547752;0.653849
0.706;0.548406;0.653717
0.707;0.54906;0.653585
0.708;0.549713;0.653453
0.709;0.550367;0.653323
0.71;0.55102;0.653193
0.711;0.551673;0.653063
0.712;0.552326;0.652935
0.713;0.552979;0.652807
0.714;0.553632;0.65268
0.715;0.554284;0.652553
0.716;0.554937;0.652427
0.717;0.555589;0.652302
0.718;0.556241;0.652177
0.719;0.556893;0.652054
0.72;0.557545;0.65193
0.721;0.558197;0.651808
0.722;0.558849;0.651686
0.723;0.559501;0.651565
0.724;0.560152;0.651444
0.725;0.560804;0.651325
0.726;0.561455;0.651206
0.727;0.562106;0.651087
0.728;0.562757;0.650969
0.729;0.563408;0.650852
0.73;0.564059;0.650736
0.731;0.564709;0.65062
0.732;0.56536;0.650505
0.733;0.56601;0.65039
0.734;0.566661;0.650277
0.735;0.567311;0.650163
0.736;0.567961;0.650051
0.737;0.568611;0.649939
0.738;0.569261;0.649828
0.739;0.569911;0.649718
0.74;0.57056;0.649608
0.741;0.57121;0.649499
0.742;0.571859;0.64939
0.743;0.572509;0.649282
0.744;0.573158;0.649175
0.745;0.573807;0.649068
0.746;0.574456;0.648963
0.747;0.575105;0.648857
0.748;0.575754;0.648753
0.749;0.576402;0.648649
0.75;0.577051;0.648545
0.751;0.5777;0.648443
0.752;0.578348;0.648341
0.753;0.578996;0.648239
0.754;0.579644;0.648139
0.755;0.580292;0.648038
0.756;0.58094;0.647939
0.757;0.581588;0.64784
0.758;0.582236;0.647742
0.759;0.582884;0.647645
0.76;0.583531;0.647548
0.761;0.584179;0.647451
0.762;0.584826;0.647356
0.763;0.585474;0.647261
0.764;0.586121;0.647166
0.765;0.586768;0.647073
0.766;0.587415;0.64698
0.767;0.588062;0.646887
0.768;0.588709;0.646795
0.769;0.589356;0.646704
0.77;0.590002;0.646614
0.771;0.590649;0.646524
0.772;0.591295;0.646434
0.773;0.591942;0.646346
0.774;0.592588;0.646258
0.775;0.593234;0.64617
0.776;0.59388;0.646083
